Product Title,MRP (₹),Fabric Type,Colour,Available Sizes,Qty Available,Image URL,Vendor SKU
Anarkali Floral Kurta,"₹1,499",Cotton,Mustard Yellow,"S, M, L",In Stock,,SKU-1001
 chikankari embroidered kurta ,"Rs. 1,299",Georgette,White,S/M/L,5 pcs left,,SKU-1002
Straight Fit Kurta,649,,Maroon,M,12,,SKU-1003
Printed A-Line Kurta,749.00,Rayon,,S / M,Out of Stock,,SKU-1004
Banarasi Silk Saree,"₹1,999.00",Banarasi Silk,Red,,7,,SKU-1005
Chiffon Printed Saree,1199,Chiffon,Peach / Coral,,,,SKU-1006
Sky Blue Mesh Criss-Cross Dress,Rs.749,,,Free Size,3 pcs left,,SKU-1007
Bodycon Party Dress,899,Lycra,Black,Free Size,,,SKU-1008
Denim Shirt Dress,"1,250",Denim,Light Blue,S/M/L/XL,Available,,SKU-1009
Embroidered Kurti,1399,Cotton Silk,Coral,M/L,,,SKU-1010
