name,price,material,color,size,stock,photo_url
Anarkali Floral Kurta,899,Cotton,Mustard Yellow,"S,M,L",20,https://picsum.photos/seed/anarkali-floral-kurta/600/800
Chikankari Embroidered Kurta,1299,Georgette,White,"S,M,L,XL",15,https://picsum.photos/seed/chikankari-embroidered-kurta/600/800
Straight Fit Cotton Kurta,649,Cotton,Maroon,"M,L,XL,XXL",30,https://picsum.photos/seed/straight-fit-cotton-kurta/600/800
Printed A-Line Kurta,749,Rayon,Teal,Free Size,25,https://picsum.photos/seed/printed-a-line-kurta/600/800
Banarasi Silk Saree,1999,Banarasi Silk,Red,"S,M,L",8,https://picsum.photos/seed/banarasi-silk-saree/600/800
Chiffon Printed Saree,1199,Chiffon,Peach,"S,M,L,XL",12,https://picsum.photos/seed/chiffon-printed-saree/600/800
Cotton Handloom Saree,899,Handloom Cotton,Indigo Blue,"M,L,XL,XXL",18,https://picsum.photos/seed/cotton-handloom-saree/600/800
Georgette Party Wear Saree,1599,Georgette,Emerald Green,Free Size,10,https://picsum.photos/seed/georgette-party-wear-saree/600/800
Kanjivaram Silk Saree,1999,Kanjivaram Silk,Purple,"S,M,L",6,https://picsum.photos/seed/kanjivaram-silk-saree/600/800
Floral Wrap Dress,999,Crepe,Pink,"S,M,L,XL",22,https://picsum.photos/seed/floral-wrap-dress/600/800
A-Line Midi Dress,1099,Cotton Blend,Navy Blue,"M,L,XL,XXL",17,https://picsum.photos/seed/a-line-midi-dress/600/800
Bodycon Party Dress,799,Lycra,Black,Free Size,14,https://picsum.photos/seed/bodycon-party-dress/600/800
Ethnic Print Maxi Dress,1450,Rayon,Rust Orange,"S,M,L",9,https://picsum.photos/seed/ethnic-print-maxi-dress/600/800
Denim Shirt Dress,1250,Denim,Light Blue,"S,M,L,XL",11,https://picsum.photos/seed/denim-shirt-dress/600/800
Embroidered Kurti with Palazzo,1399,Cotton Silk,Coral,"M,L,XL,XXL",13,https://picsum.photos/seed/embroidered-kurti-with-palazzo/600/800
Linen Blend Kurta Set,1799,Linen,Beige,Free Size,7,https://picsum.photos/seed/linen-blend-kurta-set/600/800
Printed Casual Kurta,599,Rayon,Sky Blue,"S,M,L",28,https://picsum.photos/seed/printed-casual-kurta/600/800
Tussar Silk Saree,1699,Tussar Silk,Olive Green,"S,M,L,XL",9,https://picsum.photos/seed/tussar-silk-saree/600/800
Sleeveless Summer Dress,699,Cotton,White Floral,"M,L,XL,XXL",20,https://picsum.photos/seed/sleeveless-summer-dress/600/800
Sky Blue Mesh Criss-Cross Dress,749,Mesh,Sky Blue,"S,M,L",12,https://picsum.photos/seed/sky-blue-mesh-criss-cross-dress/600/800
